88Sr(p,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
59.2	70.5	6.0	1.85E+03	5.01E+01	1.81E+03	3.94E+04
59.3	70.2	6.0	1.85E+03	5.01E+01	1.81E+03	3.94E+04
59.4	70.0	6.0	1.86E+03	5.02E+01	1.81E+03	3.95E+04
59.5	69.7	6.0	1.86E+03	5.02E+01	1.82E+03	3.95E+04
59.6	69.4	5.9	1.86E+03	5.03E+01	1.82E+03	3.96E+04
59.7	69.1	5.9	1.86E+03	5.04E+01	1.82E+03	3.96E+04
59.8	68.8	5.9	1.87E+03	5.04E+01	1.82E+03	3.97E+04
59.9	68.6	5.9	1.87E+03	5.05E+01	1.82E+03	3.97E+04
60.0	68.3	5.9	1.87E+03	5.05E+01	1.83E+03	3.97E+04
60.1	68.0	5.1	1.87E+03	5.06E+01	1.83E+03	3.98E+04
